qid,question,answer_id,video_id,a0,a1,a2,a3,start,end
1133,How are the two interacting?,0,Bks4JX95dD8,They agree with and understand each other's points.,They agree with each other.,One woman is explaining something to the other.,The two women are arguing with each other.,0,58
1134,How do the two women react to each other's ideas?,2,Bks4JX95dD8,They are confused about each other's ideas.,They are interested because they disagree.,They nod with each other.,They are feeling overwhelmed by each other's ideas.,0,58
1135,How does the person on the left feel about teaching?,0,Bks4JX95dD8,She feels it is impactful.,She likes teaching because of many aspects.,The person on the left thinks teaching is boring.,The girl on the right is a famous singer.,0,58
1136,How does the person on the right present herself?,3,Bks4JX95dD8,She appears shy and reserved.,s slightly awkward and aloof.,She seems uninterested in the conversation.,The viewer could deduce that she is formal and open.,0,58
1137,Is the woman with blonde hair nervous?,3,Bks4JX95dD8,"Yes, she does not feel safe talking to the other woman.",The woman with blonde hair is excited about the conversation.,The man is trying to impress the woman with blonde hair.,"No, she was not nervous.",0,58
1138,What makes it evident that the children love toys,1,BnkKxVNBDCA,The children love toys because they have a lot of them at home.,They keep talking about their trip to the toy store,The children feel excited when they see toys.,They keep grabbing at all of the toys in the bin,0,60
1139,Why is the baby in blue making faces at the camera,1,BnkKxVNBDCA,She is excited about something.,The baby is in a happy mood,The baby is in a good mood,She is trying to catch a butterfly.,0,60
1140,What is the man's attitude about becoming a cop?,0,BzEjGy7EPIc,"His attitude is excited, shown by him talking fast",shown by him talking fast,He is anxious because he stutters and fidgets a lot during the conversation.,He is confident because he talks about it calmly and slowly.,0,60
1141,Why does the man jump up onto the counter?,0,BzEjGy7EPIc,He jumps up on the counter to get into a comfortable position before having a talk with the woman,He jumps up on the counter to assert his dominance before talking to the woman.,He jumps up on the counter to get a better view of the situation.,He jumps up on the counter to avoid a mouse.,0,60
1142,Why does the woman raise her eyebrows at 0:38?,2,BzEjGy7EPIc,She raises her eyebrows because she doesn't quite understand what the man is trying to,The woman is amused because she understands what the man is trying to convince her of.,She raises her eyebrows because she doesn't quite believe what the man is trying to convince her of,The woman raises her eyebrows because she is surprised by the man's shirt.,0,60
1143,Why does the woman speak slowly when asking if the man told her brother about signing up?,3,BzEjGy7EPIc,She speaks slowly because she is afraid of the man's reaction to her question.,She speaks slowly because she is afraid of the man's reaction to her question.,She speaks slowly because she isn't sure if the man will know the answer to,She speaks slowly because she isn't sure how the man will react to her question,0,60
1144,Why doesn't the man want the woman's brother to know about the academy?,2,BzEjGy7EPIc,He doesn't want him to know because he is interested in her brother,Because he is afraid her brother will judge him.,He doesn't want him to know because he is intimidated by her brother,Because he wants to impress his boss.,0,60
1145,How do the two people feel about each other?,3,C0g5RjQ7cRE,They are indifferent towards each other.,They are professional towards each other.,They are happy with each other.,They are friendly,0,59
1146,How does the woman feel about the idea of plantations?,1,C0g5RjQ7cRE,The woman thinks that the show is about a family of farmers.,She does not like it,The woman is a fan of country music.,She likes the idea passionately.,0,59
1147,How does the woman present the show?,3,C0g5RjQ7cRE,The woman is arrogant about her show.,She knows a lot about it.,The woman is wearing a red dress.,She is humble,0,59
1148,"Why do they both repeat the word ""farm""?",0,C0g5RjQ7cRE,They don't want to use plantation,"They are trying to avoid using the word ""plantation"".",They are discussing a different topic.,They are happy about the word.,0,59
1149,Why does the woman use her hands when she speaks?,1,C0g5RjQ7cRE,She is nervous.,She is making hand gestures to be clear,She is trying to keep warm.,The woman is emphasizing her words.,0,59
1150,"At 0:33, what best characterizes how the woman is feeling?",1,C2PneBztZ3g,"At 0:33, she is very distraught and is explaining why she is so upset",She is feeling excited as she tries to convince her friend everything is fine.,She is feeling anxious about encountering alligators.,The woman is the most excited person because she is telling jokes.,0,59
1151,Does the man show that he is interested in the story?,1,C2PneBztZ3g,"No, he didn't compliment the story.","Yes, he maintains eye contact.",The man is scared of the alligators.,The man is busy texting on his phone.,0,59
1152,Does the woman like telling her story?,3,C2PneBztZ3g,She appears to be daydreaming and not paying attention to the conversation.,The woman is hesitant to tell her story.,She is annoyed by the man's interruption.,"Yes, she is waving her arms around for emphasis and is smiling.",0,59
1153,How does the guest communicate different perspectives of her story?,3,C2PneBztZ3g,She uses different accents to communicate different perspectives.,She changes her tone to convey different perspectives.,She says when she is switching perspectives.,She uses different voices.,0,59
1154,How does the man feel about the story?,0,C2PneBztZ3g,He finds the story interesting and is very engaged.,He is confused and doesn't understand the story.,"He is interested, but not very excited.",He finds the story interesting and is engaged from what she is saying.,0,59
1155,What does Jimmy think of his guest's story?,3,C2PneBztZ3g,He thinks it's interesting.,He thinks it's exaggerated.,"He thinks it's funny, but not as funny as his own swamp tour story.",He thinks it's really funny.,0,59
1156,What is the attitude of the woman in the video?,0,C2PneBztZ3g,She is excited,The woman in the video is afraid of alligators.,The woman in the video is uninterested in the swamp tour.,She is happy,0,59
1157,What is the goal of the woman in the video?,2,C2PneBztZ3g,She wants to share an interesting story.,She wants to complain about something that happened,She wants to tell a funny anecdote,She wants to promote her new book.,0,59
1158,What is the relationship between the man and the woman?,3,C2PneBztZ3g,They have a friendly relationship.,They are old friends.,They are exes.,"They are professional, as the man is interviewing the woman.",0,59
1159,Why did the woman in the video tell the person in her anecdote that they were going to have a good time?,0,C2PneBztZ3g,The person she was talking to in her anecdote was hesitant about their undertakings,She is convincing her friend to have a good time.,The person she was talking to in the anecdote was upset and she,She is encouraging her friend to have a good time.,0,59
1160,Why does the woman open her palms and move around as she speaks?,1,C2PneBztZ3g,She is practicing her dance moves.,She was mocking another person.,She is trying to catch a fly.,Because she is trying to swat away a fly that is near her.,0,59
1161,How does the brunette woman feel about the red haired woman's love of Meerkats?,3,CFvt6Eg3wvA,The brunette woman is allergic to Meerkats.,The brunette woman is jealous of the red haired woman's love of Meerkats.,The brunette woman is excited about the red haired woman's love of Meerkat,The brunette woman is indifferent to the red haired woman's love of Meerkats,0,60
1162,How does the man in the hat sitting at the table feel about the brunette woman?,0,CFvt6Eg3wvA,"The man in the hat is cautious of the brunette woman, shown by him barely looking at her",The man in the hat is envious of the brunette woman's cereal.,"The man in the hat is oblivious to the brunette woman, shown by him not acknowledging her presence.","The man in the hat is suspicious of the brunette woman, shown by him avoiding eye contact.",0,60
1163,What is the brunette woman thinking as she sees a man walking around outside?,0,CFvt6Eg3wvA,She is wondering what the man out there is doing and she is confused by him,and she is scared of him,She is wondering if the man outside is lost.,She is curious about the man outside and wonders if he needs help.,0,60
1164,Why does the brunette woman hesitate at 0:46?,0,CFvt6Eg3wvA,She hesitates because she is trying to determine if the red haired woman is serious or joking,The brunette woman hesitates because she is afraid of the woman in the red shirt.,She hesitates because she is trying to determine if the red haired woman is right,She hesitates because she is unsure if the red haired woman is telling the truth.,0,60
1165,"Why does the red haired woman say ""you were not"" when the brunette woman said she was born in Japan?",0,CFvt6Eg3wvA,She says this because she is shocked and amazed by this information,She says this because she is surprised by the statement.,She says this because she is defensive and angry at this information.,She says this because she is confused by the statement.,0,60
1166,How does the first man react when the woman doesn't respond?,1,COYJC6dvB8I,The man starts singing a song to get her attention.,He gets annoyed and angry with her because he is asking her questions.,He is patient with her.,The first man is cooperative and understanding of the woman's situation.,0,58
1167,How does the man in the black jacket feel?,0,COYJC6dvB8I,"He feels exasperated and powerless, but knows he is right.",He feels happy.,The man in the black jacket is confused about the conversation.,The man in the black jacket is anxious.,0,58
1168,How does the second man who speaks treat the man he speaks to?,0,COYJC6dvB8I,He is impatient and aggressive.,He is calm and considerate.,The second man thinks the man he speaks to is incompetent.,He is dismissive and uninterested.,0,58
1169,Why does the man in the black hoodie face the wall?,0,COYJC6dvB8I,He is taking orders.,He is waiting for a phone call.,He is about to dance.,He is trying to hide from someone.,0,58
1170,Why does the man in the gray sweatshirt look confused by the green card?,1,COYJC6dvB8I,He is confused as to what it is.,The man in the grey sweatshirt is confused by the green card because he expected something different.,The man in the grey sweatshirt is confused by the white brick wall.,The man in the grey sweatshirt is confused by the collage of information about a foreign language.,0,58
1171,Why doesn't the woman speak?,3,COYJC6dvB8I,The woman doesn't speak because she doesn't want to interrupt the conversation.,The woman doesn't speak because she is shy.,The woman doesn't speak because she doesn't know the language the man in white is,The woman doesn't speak because she feels threatened and doesn't want to incite any more aggression.,0,58
1172,Why is the man in grey confused?,0,COYJC6dvB8I,The man in grey is confused because he received something he did not expect.,The man in grey is confused because he doesn't understand the conversation.,The man in grey was confused that the conversation was in Spanish.,The man in grey is confused because the man in black gave him something for no reason.,0,58
1173,Why is the man in the white sweater agitated?,0,COYJC6dvB8I,"The man in the white sweater is agitated because he thinks his request is simple, but the woman isn't cooperating.",He is frustrated with the woman ignoring him,The man is frustrated because she is not fulfilling his request.,The man is agitated because he lost his keys.,0,58
1174,Why is the man in white frustrated with the woman?,0,COYJC6dvB8I,The man in white is frustrated with the woman because his expectations for how she would act differ from how she does act.,The man in white is frustrated with the woman because she won't agree with him.,The man in white is frustrated with the woman because she is wearing a black shirt.,is frustrated with the woman because she doesn't move from in front of him.,0,58
1175,Why is the woman nervous?,2,COYJC6dvB8I,The woman is excited.,The woman is anxious.,She is being talked to in a stern manor.,She is about to be surprised.,0,58
1176,Do the two men seem friendly with each other?,2,CYZ3phylT7Y,The boy is actually the man's son.,The man is actually a basketball coach and the boy is his star player.,"Yes, they seem friendly because they are comfortable talking to each other",seem friendly because they are comfortable talking to each other,0,60
1177,How does the man sitting on the floor feel about the man with the basketball saying he should ask a girl out?,0,CYZ3phylT7Y,He feels like it's a ridiculous thing for him to suggest because he has low confidence,He feels like it's a genius thing for him to suggest because he has exceptional confidence,He feels that it is a great idea.,He seems indifferent to the suggestion and changes the subject.,0,60
1178,How does the man with a basketball feel about his life?,0,CYZ3phylT7Y,He feels like his life didn't turn out the way he wanted it to,The man is pleasantly surprised with how his life turned out.,He feels like he's living his best life.,He feels like his life turned out exactly the way he wanted it to,0,60
1179,Why does the man sitting on the floor put his hand up at 0:44?,2,CYZ3phylT7Y,He is signaling that he needs a break.,'t mean to scare the man,He is using body language to indicate that he didn't mean to offend the man with the basketball,He is trying to signal that he needs to go to the bathroom.,0,60
1180,Why is the man with the basketball laying on the floor?,2,CYZ3phylT7Y,The man is laying on the floor because he and the boy are playing a game.,He's prone because he was pushed down by the other players.,He is laying on the floor because he is feeling relaxed,He is laying on the floor because he lost a bet.,0,60
1181,Does the woman in the black camouflage seem intimidated throughout the video?,2,C_Emdu3KwHg,"Yes, she's aware because she keeps looking around and checking her surroundings.",She is impressed with the man in red's leadership skills.,The woman in the black camouflage does not seem intimidated throughout the video because she speaks confidently.,"seems to be flustered and nervous, constantly fidgeting with her hands and avoiding eye contact.",0,60
1182,How do the group of three people led by the person with long blonde hair feel when they hear gunshots?,0,C_Emdu3KwHg,The three people leave when they hear gunshots because they feel alarmed by them.,The group of three people are discussing their dinner plans when they hear gunshots.,The three people are calm when they hear gunshots because they are used to hearing them and it's a normal occurrence.,The people in the video look very composed when they hear gunshots.,0,60
1183,How does the person with long blonde hair respond when the person in the hat introduces himself?,0,C_Emdu3KwHg,The person with long blonde hair responds very appreciatively when the man with the hat introduces himself.,"The person with long blonde hair introduces herself to the man with the hat for the first time, but then quickly becomes defensive and suspicious.",The person with long blonde hair responds with a nod when the man with the hat introduces himself.,"The person with long blonde hair responds very appreciatively when the man with the hat introduces himself, but then quickly becomes nervous and starts shaking.",0,60
1184,How does the woman in the red feel towards the man with the hat and the gun?,0,C_Emdu3KwHg,The woman in the red feels grateful towards the man with the hat and the gun because he made the other men leave.,the man with the hat and the gun because ,She is irritated with him because he is not paying attention to her.,She is angry because she feels like the man with the hat and gun is not listening to her.,0,60
1185,What is the tone of the person with long blonde hair and camouflage?,0,C_Emdu3KwHg,He pretends to use a friendly tone but is really making a threat to the women.,"The man speaks in a friendly tone, but his words carry a hidden threat towards the women.",The man speaks politely to the women and tries to make them feel comfortable.,He uses a friendly tone because he expresses a desire to spend quality time,0,60
1186,Why do the three men walk off after they see the other man with the gun?,2,C_Emdu3KwHg,The three men walk off because they are hungry.,The three men walk off because they are lost.,The three men walk off after they see the other man with the gun because they are scared of the man.,The three men walk off after they see the other man with the gun because they are fascinated by the shiny metal object in his hand.,0,60
1187,Does the man show interest in the woman's makeup?,2,CdUTSyU8LCo,The man is too busy singing to notice the woman's makeup.,"No, he is preoccupied with his phone","Yes, he shows curiosity about her routine",The man is too busy eating to pay attention to the woman's makeup.,0,60
1188,How does the woman apply her makeup?,1,CdUTSyU8LCo,She applies it carefully,She applies it with focus,The woman is using a brush to apply her makeup.,The woman is applying her makeup while singing.,0,60
1189,Why does the man grit his teeth at 0:06?,2,CdUTSyU8LCo,He is annoyed that the woman is taking too long to apply her makeup.,He is frustrated that the woman spilled her makeup,He is frustrated that they are caught by a red light,He is frustrated that the car is running out of gas.,0,60
1190,Why does the woman think the man is trying to distract her by asking about her makeup?,0,CdUTSyU8LCo,She thinks he wants to slow her process,The woman thinks the man is trying to distract her from the car's speed.,She thinks he is hiding a surprise,She is suspicious of his motives.,0,60
1191,Why is the woman excited to get caught by a red light?,1,CdUTSyU8LCo,She wants to move into the back seat to tend to their baby,It is easier for her to apply her makeup when the car is stopped,She wants to take a nap when the car stops.,She wants to take a selfie when the car stops.,0,60
1192,How does the woman with glasses feel about the woman in yellow getting married?,1,CkhgusyxPDU,The woman with glasses is excited for the woman in yellow getting married.,The woman in glasses feels skeptical and cautious about the woman in yellow getting married,She looks skeptical about the woman in yellow getting married.,The woman in glasses feels annoyed and envious about the woman in yellow getting married.,0,60
1193,What is the relationship like between the woman with the glasses and the woman in yellow?,3,CkhgusyxPDU,The woman have a good relationship because they both agree with each other.,The woman in glasses is secretly in love with the football player.,The woman in glasses is jealous of the woman in yellow.,The women have a loving relationship because they both care about each other,0,60
1194,Why does the woman in yellow look down at 0:42?,3,CkhgusyxPDU,She reacts indifferent because she is thinking about what to wear for the dinner.,She looks down because she is checking her phone.,She looks down because she is ignoring what the woman in glasses said about marriage.,She looks down because she is considering what the woman in glasses said about marriage,0,60
1195,Why does the woman in yellow turn and look at the woman in glasses at 0:22?,2,CkhgusyxPDU,The woman in yellow is asking the woman in glasses for a pen.,She is using her body language to deny that her fiance is taking them to dinner,She is using her body language to brag about her fiance taking them to dinner,The woman in yellow is checking her phone.,0,60
1196,Why does the woman with glasses take a piece of paper out of the short haired woman's hands?,0,CkhgusyxPDU,She is embarrassed by what the paper says and doesn't want the short haired woman snooping,The woman with glasses takes the paper to show it to the engaged woman.,The woman with glasses takes the paper to read it herself.,and is trying to hide it from the short haired woman.,0,60
1197,How does Ula show her anxiousness?,2,CoMz3JOnZFo,Ula thinks the woman is friendly.,She stays completely still and calm.,She wiggles her fingers again and again.,Ula bites her nails.,0,59
1198,How does Ula show her excitement?,0,CoMz3JOnZFo,She covers her mouth and says oh my gosh.,Ula jumps up and down with excitement.,She tells her sister she is excited.,Ula is optimistic about the surprise event.,0,59
1199,How does the girl feel in the beginning of the video?,1,CoMz3JOnZFo,Ula is excited about her upcoming vacation.,She can tell something good is going to happen but cannot guess what,She is excited something good is about to happen,The girl is curious and excited about what is going on.,0,59
1200,How does the sidekick pirate add to the value of Johnny Depp?,2,CoMz3JOnZFo,He follows Depp everywhere he goes.,The sidekick pirate helps Johnny Depp with his makeup.,He adds gestures and comments after Depp talks.,The sidekick pirate is a great cook and makes delicious food for Johnny Depp.,0,59
1201,Is the girl in black shirt excited?,1,CoMz3JOnZFo,Is the girl in black shirt interested in the black shirt?,"Yes, since she's curious about what she'll see.",The girl in black shirt is nervous about the surprise event.,The woman in white shirt is excited about the surprise event.,0,59
1202,Is the man happy to see the girl?,2,CoMz3JOnZFo,"No, he is aloof.",The man is happy to see the pirate costume.,"Yes, as he's glad to see a fan of his.",The man is happy to see Ula.,0,59
1203,Is the man with the long hair a kind person?,3,CoMz3JOnZFo,"No, the man with long hair is not kind.",involved only with the woman in black.,He appears to be unkind.,"Yes, his affectionate behavior toward the woman in the black shirt suggests he is a caring individual.",0,59
1204,What are the emotions of the girl as she sees the man dressed as a pirate?,0,CoMz3JOnZFo,The girl is astonished and happy.,The girl is happy and is smiling.,The girl shows her happiness through her facial expression and tone.,The girl is scared and confused.,0,59
1205,What are the emotions of the girl as she walks in?,1,CoMz3JOnZFo,The girl is interested.,The girl is nervous and unsure about what is going on.,She is happy.,"No, the girl is excited.",0,59
1206,Why are the men in pirate costumes walking with a forward lean?,0,CoMz3JOnZFo,They are imitating the way the characters act in the movie,They were paralyzed and are struggling to relearn how to walk,The men in pirate costumes are trying to balance on one leg.,The men in pirate costumes are trying to impersonate Johnny Depp.,0,59
1207,Why do the girl and the man dressed as a pirate hug?,1,CoMz3JOnZFo,The girl and the man dressed as a pirate hug because they are old friends.,The girl is happy to meet the man dressed as a pirate.,The girl is forced to hug the man dressed as a pirate.,She hugs him because he gives her a present.,0,59
1208,Why does the girl cover her mouth with her hands?,2,CoMz3JOnZFo,The girl is surprised because she saw a mouse.,She is trying not to cry because she received bad news,She is extremely overwhelmed with happiness and shock,The girl is overwhelmed with positivity.,0,59
1209,Why does the man in the pirate costume (with black hair) walking and talking awkwardly?,3,CoMz3JOnZFo,The man in the pirate costume is trying to hide from someone.,The man in the pirate costume is uncomfortable in his costume.,He has some problems.,Because the character he's dressed up as walks and talks that way.,0,59
1210,Why does the woman in black appear nervous while walking?,2,CoMz3JOnZFo,She is worried that someone is watching her and following her every move.,The woman in black is worried about her outfit.,"She is anticipating something unexpected to happen, and doesn't know what it could be.",The woman in black's tone changes from caring to nervous while walking.,0,59
1211,Why does the woman in black cover her mouth with her hands?,1,CoMz3JOnZFo,She is scared of the man with long hair.,She cannot believe something that happened.,She looks worried and concerned about the event.,She is surprised by what she sees.,0,59
1212,Why is the girl happy?,3,CoMz3JOnZFo,She was impressed to see a professional cosplayer.,"Yes, she was flattered to receive compliments from others.","No, she is happy to see the surprise event.",Because she actually met someone who she was a fan of.,0,59
1213,Why is the girl nervous?,1,CoMz3JOnZFo,She knows she is going to see something scary.,Because she doesn't know who she would meet.,She is nervous about being late for her appointment.,She is nervous about forgetting her lines.,0,59
1214,Does the black haired woman like the woman in the white bra?,1,CrA4-MrG1tQ,The black haired woman is jealous of the woman in the white bra.,The black haired woman doesn't like the woman in the white bra because she thinks she's being two-faced,thinks the woman in the white bra is fake,The black haired woman is smiling because she got away with something.,0,60
1215,How does the attitude of the woman in the white bra change during the conversation?,2,CrA4-MrG1tQ,The woman in the white bra is not present in the video.,"The woman in the white bra initially seems uncomfortable and has to force a friendly smile, but as the blonde woman talks, the woman in the white bra becomes tense.","Her attitude is friendly and easygoing at first, and by the end it's tense","Her attitude is tense and angry at first, and by the end it's friendly",0,60
1216,How does the man in white react to the man in a striped shirt pulling out a football?,3,CrA4-MrG1tQ,The man in white ignores the man in the striped shirt and walks away.,The man in white gets angry and starts arguing with the man in the striped shirt.,The man in white is satisfied when the other man pulls out a football because it will,The man in white is excited when the other man pulls out a football because it will pass the time,0,60
1217,What is the relationship like between the two women?,0,CrA4-MrG1tQ,"The two women don't know each other well, indicated by the way they speak to each other",The two women are competing against each other.,The two women are best friends.,"The two women know each other well, indicated by the way they gossip to each other",0,60
1218,Why does the woman in the white bra mention the paparazzi?,1,CrA4-MrG1tQ,The woman mentions the paparazzi to get attention from her crush.,She mentions the paparazzi to alert everyone to act a certain way,She brought up the subject of the paparazzi for no apparent reason.,The woman mentions the paparazzi to show off her new swimsuit.,0,60
1219,"How does the woman feel about the man asking if she is a ""gemini""?",3,Crp5I6NXX8w,The woman was amused by the man's lack of knowledge about astrology.,The woman was honored when the man implied that she could be a gemini,The woman was impressed by the man's guess.,The woman was offended when the man implied that she could be a gemini,0,60
1220,How does the woman in the black jacket feel when the man starts talking to her?,2,Crp5I6NXX8w,The woman feels comfortable and comfortable when the man starts talking to her.,The woman is annoyed when the man starts talking to her.,The woman feels cautious but friendly when the man starts talking to her,The woman feels uncomfortable when the man starts talking to her.,0,60
1221,What is the relationship like between the man and the woman in the black jacket?,3,Crp5I6NXX8w,They are arguing over which brand of cereal to buy.,Their relationship is friends but they are in love with each other,He is attracted to her but she is not interested.,Their relationship is strangers but they are flirtatious with each other,0,60
1222,Why does the man ask the woman about her star sign?,0,Crp5I6NXX8w,He asks the woman about her star sign to start a conversation with her,woman about her star sign to start a debate with her.,He asks the woman about her star sign to show off his knowledge of astrology.,He asks the woman about her star sign to impress her.,0,60
1223,Why does the man smile when he says cancer?,1,Crp5I6NXX8w,He smiles when he says cancer because he remembers a funny joke.,He smiles when he says cancer because he is confident in his guess,He smiles when he says cancer because he wants to be sarcastic.,He smiles when he says cancer because he is joking about his guess,0,60
1224,How did the woman feel about her finance degree?,3,Csy2RxzkbaM,The woman is proud of her finance degree.,The woman regrets getting her finance degree.,She does not say anything so we do not know,The women thinks thtat the degree helps people stereotype her,0,60
1225,How does the woman in the stripes feel about what she is talking about?,2,Csy2RxzkbaM,The woman in stripes is trying to hide her boredom about what she is talking about.,The woman in stripes is indifferent about what she is talking about.,The women is stripes is extremely passionate about what she is talking about. She is also a bit scared about messing it up,"She seems disinterested, like she would rather be doing something else.",0,60
1226,How is the woman in the stripes' overall mood?,2,Csy2RxzkbaM,The woman is happy and carefree.,The woman is excited and happy.,She is calm and content.,"She is relaxed and calm, well rested",0,60
1227,Is the woman in stripes confident?,1,Csy2RxzkbaM,The woman in stripes uses her voice a little when speaking.,She is a bit nervous and frightened wondering what ewould happen if she failed,She is extremely tired and nervous about failing.,The woman in stripes is feeling unwell.,0,60
1228,Is the woman passionate about blogging?,1,Csy2RxzkbaM,"No, her tone does not change, it is just normal so she is not passionate about it","Yes, she puts a lot of work into her blog and wants to build her personal brand.",The woman is a professional dancer.,The woman speaks enthusiastically about her blog.,0,60
1229,How do the people sitting on the couch feel about the song?,2,D1FXpqUivtU,Some of them are annoyed by it.,They have never heard the song before.,They all like it,They all dislike the song.,0,58
1230,How do the women feel when the two people on the right mention their new song?,0,D1FXpqUivtU,They are happy,They are indifferent.,They are annoyed.,They are confused.,0,58
1231,"What do the four women on the left think about the ""airplane stretches""?",0,D1FXpqUivtU,"The four women on the left think the ""airplane stretches"" make the other people in the video look funny.",They like them.,"No, they don't think the ""airplane stretches"" are helpful.","The four women on the left are not interested in ""airplane stretches"".",0,58
1232,Why does the woman in the teal dress speak slowly?,3,D1FXpqUivtU,She is nervous to be in the room.,The woman in teal speaks slowly because she is trying to remember her lines.,The woman in teal dress speaks slowly because she is nervous about being misunderstood.,The woman in teal speaks slowly because she wants the other women to understand her.,0,58
1233,Why is the stretching funny to the women in the animal print dresses?,3,D1FXpqUivtU,The women in the animal print dresses find the stretching funny because they are secretly aliens and have never seen humans stretch before.,The women in the animal print dresses are amused by the K-pop idols' stretching on the airplane because it's not something they usually do.,stretching is funny to the women in the animal print dresses because they think stretching is funny.,The stretching is funny to the women in the animal print dresses because they haven't seen anyone do that before.,0,58
1234,Does the man respect the woman?,3,D2VcClclMbs,The man is annoyed by the woman's opinions.,The man thinks that the woman in black is too bossy.,"No, he is disrespectful and ignores the woman's thoughts and feelings.","Yes, the man listens to the woman and is interested in her responses",0,59
1235,Does the man sound interested in the woman's topic?,2,D2VcClclMbs,"No, he never follows up on her responses.",The woman in the black blazer is the director of the play.,"Yes, the man pays attention to the woman and responds",The group is discussing their favorite TV shows.,0,59
1236,What does the man think about what the woman is saying?,1,D2VcClclMbs,He is interested.,The man hears what the woman is saying and gets it,They discuss the importance of the color blue in the performance.,He does not seem convinced by what the woman is saying.,0,59
1237,What does the woman feel about the subject?,3,D2VcClclMbs,She knows a lot about it.,The woman thinks that the woman in the red dress is a worthy opponent.,The woman is bored and uninterested in the conversation.,The woman believes what she is saying about the subject,0,59
1238,Why does the woman seem mesmerized in the beginning of the video?,1,D2VcClclMbs,She is daydreaming about the magic of theater.,She is thinking about something good that happens on stage,The woman is laughing at a joke someone made off-camera.,She is being mesmerized by the other man in the video,0,59
1239,Are the girls enjoying themselves?,0,DB7de4nC2rc,"Yes, they are both smiling and appear content with what they are doing",The girls are confused and don't know what to do.,They seem comfortable.,The girls are secretly plotting to steal the snacks.,0,57
1240,Are the two girls angry with each other?,3,DB7de4nC2rc,They cannot agree on which snack is better.,They are fighting over who gets to eat the snacks.,", they can't even look at each other.","No, they appear to be happy to be with each other.",0,57
1241,Are the two girls curious about the taste of the food before trying it?,0,DB7de4nC2rc,Yes they even smell the food and try to predict the taste before trying it.,The girls care about the taste of the food before trying it.,The girls are disappointed with the taste of the snacks.,The girls are competing to see who can eat the most snacks.,0,57
1242,Did the girl on the right enjoy the food more than the girl on the left?,1,DB7de4nC2rc,"Yes, she enjoyed it more.","No, she enjoyed it less.","The girl on the right found it interesting, while the girl on the left was unimpressed.","One girl loved it, while the other was indifferent.",0,57
1243,Do the girls like the treat?,1,DB7de4nC2rc,The girls get into a heated argument about which snack is better and storm off in opposite directions.,"Yes, they indicate that the treat is very good and continue to eat it",Do the girls like the treat.,The girls think the treat tastes terrible and spit it out.,0,57
1244,How does the girl in black feel about the other girl?,1,DB7de4nC2rc,She likes the other girl.,"She wants to maintain authority of the video, so she ignores the other girl.",The girl in black is annoyed by the other girl's presence.,The girl in black is jealous of the other girl's popularity.,0,57
1245,How does the girl in blue feel during the video?,2,DB7de4nC2rc,The girl in blue does not show any nervous or anxious expressions on her face during the video.,The girl in blue is excited to try new snacks.,She is nervous about speaking in the video.,She is oblivious to the consequences of her actions.,0,57
1246,Is the girl on the left excited?,3,DB7de4nC2rc,The girls are discussing their favorite movies.,"Yes, the food is exciting.","Yes, she wants to describe her outfit.","Yes, she wants to try her food.",0,57
1247,"The girl on the left scrunches up her face at the end of the video, suggesting that she",2,DB7de4nC2rc,The girl on the left is allergic to green tea.,The girl on the left is feeling sick after trying the green tea snack.,may not be fond of green tea products.,"The girl on the left scrunches up her face at the end of the video, suggesting",0,57
1248,The girl on the left's smile after she smelled the product suggests that she thinks,0,DB7de4nC2rc,that the product will be delicious.,The girl on the left thinks the product will taste like dirt.,The girl on the left's smile after she smelled the product suggests that she think,The girl on the left is thinking about her upcoming math test.,0,57
1249,The girl on the right's expression after she tasted the product suggests that she,3,DB7de4nC2rc,The girl on the right is concerned with the taste of the product.,The girl on the right's expression after she tasted the product suggests that she is ,The girl on the right is disappointed with the product.,thinks that the product is delicious.,0,57
1250,What are their reactions to the candy?,2,DB7de4nC2rc,They didn't know the candy would taste so good.,They were disappointed by how bad-tasting the candy was.,They were pleased by how great-tasting the candy was.,They felt sure about the candy.,0,57
1251,What is the reaction after smelling the candy?,0,DB7de4nC2rc,They were excited to try the candy because of the smell.,One of the girls is hesitant to try the candy after smelling it.,They were uninterested.,They were disappointed that the candy did not smell like blueberries.,0,57
1252,What tone is the older female speaking in?,2,DB7de4nC2rc,She is speaking in a very happy tone,The girls are disappointed with the snacks.,"A more satisfied tone, since the candy was good.",The older female speaker is overly enthusiastic about the snacks.,0,57
1253,Why are the two girls eating something?,1,DB7de4nC2rc,The two girls are trying out new snacks and drinks.,They want to see how it tastes.,They are starving.,They are trying to win a bet with their friends.,0,57
1254,Why do the girls smile after eating?,2,DB7de4nC2rc,They smile because they are thinking about something funny.,The girls smile because they are trying to hide their disappointment with the food.,They enjoy the taste of the food.,They smile because they are nervous about the taste of the food.,0,57
1255,Why does the girl in blue bounce up and down?,2,DB7de4nC2rc,She keeps bouncing up and down because she is too excited to sit still.,She is trying to get the attention of the other girl.,She is excited about eating the pocky.,She is comfortable around the girl in black.,0,57
1256,Why does the girl on the left interrupt the girl on the right?,1,DB7de4nC2rc,She interrupts because she wants to show off her new shoes.,She doesn't understand social niceties and wants to say something.,She respects the girl on the right and wants to say something.,She interrupts because she wants to change the subject.,0,57
